payment_id,order_id,amount,status,date
PAY0001,ORD0001,9699.21,captured,2026-08-01T23:25
PAY0002,ORD0002,11125.86,captured,2026-08-23T00:15
PAY0003,ORD0003,6501.67,captured,2026-08-01T02:21
PAY0004,ORD0004,689.11,captured,2026-08-07T23:04
PAY0005,ORD0005,3539.7,captured,2026-08-19T09:19
PAY0006,ORD0006,12145.35,captured,2026-08-23T13:30
PAY0007,ORD0007,14370.99,captured,2026-08-11T03:18
PAY0008,ORD0008,12758.01,captured,2026-08-20T08:53
PAY0009,ORD0009,8182.09,captured,2026-08-30T12:23
PAY0010,ORD0010,9540.63,captured,2026-08-29T11:43
PAY0011,ORD0011,972.66,captured,2026-08-08T09:33
PAY0012,ORD0012,1783.82,captured,2026-08-09T15:07
PAY0013,ORD0013,5741.03,captured,2026-08-07T21:40
PAY0014,ORD0014,1348.69,captured,2026-08-21T05:58
PAY0015,ORD0015,7094.69,captured,2026-08-09T21:02
PAY0016,ORD0016,3039.77,partially_refunded,2026-08-25T01:41
PAY0017,ORD0017,4936.48,captured,2026-08-09T02:43
PAY0018,ORD0018,10853.06,captured,2026-08-07T20:44
PAY0019,ORD0019,2399.36,captured,2026-08-05T08:05
PAY0020,ORD0020,11280.85,captured,2026-08-14T18:37
PAY0021,ORD0021,7789.55,captured,2026-08-03T01:59
PAY0022,ORD0022,2650.9,captured,2026-08-22T13:41
PAY0023,ORD0023,9059.16,captured,2026-08-15T16:34
PAY0024,ORD0024,10894.33,captured,2026-08-22T17:57
PAY0025,ORD0025,1938.93,captured,2026-08-14T05:30
PAY0026,ORD0026,10879.03,captured,2026-08-17T06:02
PAY0027,ORD0027,9491.54,captured,2026-08-27T20:52
PAY0028,ORD0028,5795.91,captured,2026-08-06T18:19
PAY0029,ORD0029,307.41,captured,2026-08-11T15:05
PAY0030,ORD0030,14784.21,captured,2026-08-26T09:17
PAY0031,ORD0031,8639.71,captured,2026-08-03T03:02
PAY0032,ORD0032,8130.31,captured,2026-08-05T04:58
PAY0033,ORD0033,4195.6,captured,2026-08-28T19:34
PAY0034,ORD0034,11029.72,captured,2026-08-07T22:32
PAY0035,ORD0035,5788.65,captured,2026-08-29T16:32
PAY0036,ORD0036,1240.24,captured,2026-08-01T18:43
PAY0037,ORD0037,404.71,captured,2026-08-23T20:11
PAY0038,ORD0038,760.8,captured,2026-08-11T02:40
PAY0039,ORD0039,7435.08,captured,2026-08-18T05:16
PAY0040,ORD0040,7247.74,captured,2026-08-26T16:05
PAY0041,ORD0041,1723.98,captured,2026-08-14T11:41
PAY0042,ORD0042,11017.14,captured,2026-08-22T20:45
PAY0043,ORD0043,11004.47,captured,2026-08-26T03:22
PAY0044,ORD0044,6894.07,captured,2026-08-14T05:32
PAY0045,ORD0045,13871.93,captured,2026-08-15T17:08
PAY0046,ORD0046,12589.44,captured,2026-08-03T07:24
PAY0047,ORD0047,3441.3,captured,2026-08-13T01:23
PAY0048,ORD0048,4197.75,captured,2026-08-26T14:32
PAY0049,ORD0049,14932.71,captured,2026-08-18T22:01
PAY0050,ORD0050,4660.9,captured,2026-08-31T02:01
PAY0051,ORD0051,11294.99,captured,2026-08-02T01:53
PAY0052,ORD0052,12834.84,captured,2026-08-06T01:35
PAY0053,ORD0053,9046.61,captured,2026-08-22T07:29
PAY0054,ORD0054,8809.69,captured,2026-08-02T19:19
PAY0055,ORD0055,8608.4,captured,2026-08-11T08:35
PAY0056,ORD0056,3807.92,captured,2026-08-13T05:03
PAY0057,ORD0057,4947.12,captured,2026-08-25T02:15
PAY0058,ORD0058,14942.61,captured,2026-08-03T17:30
PAY0059,ORD0059,14018.85,captured,2026-08-29T03:04
PAY0060,ORD0060,2618.04,captured,2026-08-27T17:55
PAY0002_DUP,ORD0002,11125.86,captured,2026-08-23T00:15
