settlement_id,payment_id,amount,settlement_date
SET0001,PAY0001,9505.23,2026-08-02T23:25
SET0002,PAY0002,10903.34,2026-08-24T00:15
SET0003,PAY0003,6371.64,2026-08-04T02:21
SET0004,PAY0004,675.33,2026-08-10T23:04
SET0005,PAY0005,3468.91,2026-08-20T09:19
SET0006,PAY0006,11902.44,2026-08-24T13:30
SET0007,PAY0007,14083.57,2026-08-12T03:18
SET0008,PAY0008,14378.28,2026-08-23T08:53
SET0009,PAY0009,8018.45,2026-09-01T12:23
SET0010,PAY0010,9349.82,2026-09-01T11:43
SET0011,PAY0011,953.21,2026-08-09T09:33
SET0012,PAY0012,1748.14,2026-08-11T15:07
SET0013,PAY0013,5626.21,2026-08-10T21:40
SET0014,PAY0014,1321.72,2026-08-22T05:58
SET0015,PAY0015,6952.8,2026-08-10T21:02
SET0016,PAY0016,4964.95,2026-08-26T01:41
SET0017,PAY0017,4837.75,2026-08-12T02:43
SET0018,PAY0018,10636.0,2026-08-10T20:44
SET0019,PAY0019,2351.37,2026-08-08T08:05
SET0020,PAY0020,11055.23,2026-08-15T18:37
SET0021,PAY0021,7633.76,2026-08-04T01:59
SET0022,PAY0022,2597.88,2026-08-24T13:41
SET0023,PAY0023,8877.98,2026-08-16T16:34
SET0024,PAY0024,10676.44,2026-08-25T17:57
SET0025,PAY0025,1900.15,2026-08-17T05:30
SET0026,PAY0026,10661.45,2026-08-18T06:02
SET0027,PAY0027,9301.71,2026-08-28T20:52
SET0028,PAY0028,5679.99,2026-08-09T18:19
SET0029,PAY0029,301.26,2026-08-13T15:05
SET0030,PAY0030,14488.53,2026-08-27T09:17
SET0031,PAY0031,8466.92,2026-08-04T03:02
SET0032,PAY0032,7967.7,2026-08-08T04:58
SET0033,PAY0033,4111.69,2026-08-31T19:34
SET0034,PAY0034,10809.13,2026-08-10T22:32
SET0035,PAY0035,5672.88,2026-08-30T16:32
SET0036,PAY0036,1215.44,2026-08-04T18:43
SET0037,PAY0037,396.62,2026-08-24T20:11
SET0038,PAY0038,745.58,2026-08-13T02:40
SET0039,PAY0039,7286.38,2026-08-21T05:16
SET0040,PAY0040,7102.79,2026-08-27T16:05
SET0042,PAY0042,10796.8,2026-08-23T20:45
SET0043,PAY0043,10784.38,2026-08-27T03:22
SET0044,PAY0044,6756.19,2026-08-15T05:32
SET0045,PAY0045,13594.49,2026-08-18T17:08
SET0046,PAY0046,12337.65,2026-08-05T07:24
SET0047,PAY0047,3372.47,2026-08-14T01:23
SET0048,PAY0048,4113.8,2026-08-29T14:32
SET0049,PAY0049,14634.06,2026-08-19T22:01
SET0050,PAY0050,4567.68,2026-09-03T02:01
SET0051,PAY0051,11069.09,2026-08-05T01:53
SET0052,PAY0052,12578.14,2026-08-07T01:35
SET0053,PAY0053,8865.68,2026-08-25T07:29
SET0054,PAY0054,8633.5,2026-08-05T19:19
SET0055,PAY0055,8436.23,2026-08-14T08:35
SET0056,PAY0056,3731.76,2026-08-15T05:03
SET0057,PAY0057,4848.18,2026-08-28T02:15
SET0058,PAY0058,14643.76,2026-08-05T17:30
SET0059,PAY0059,13738.47,2026-08-31T03:04
SET0060,PAY0060,2565.68,2026-08-30T17:55
SET9999,PAY9999,2353.88,2026-08-24T03:48
